x,y,psi,vorticity,u,v
0.0078125,0.148438,-2.78871e-06,0.101525,-0.00075211,5.77489e-05
0.0078125,0.15625,-3.25102e-06,0.11591,-0.00086762,6.0464e-05
0.0078125,0.164062,-3.73346e-06,0.13091,-0.0009881,6.29068e-05
0.0078125,0.171875,-4.23394e-06,0.146464,-0.00111304,6.50879e-05
0.0078125,0.179688,-4.75046e-06,0.162512,-0.00124197,6.70188e-05
0.0078125,0.1875,-5.2811e-06,0.178998,-0.00137441,6.87107e-05
0.0078125,0.195312,-5.82406e-06,0.195867,-0.00150991,7.01746e-05
0.0078125,0.203125,-6.37758e-06,0.213067,-0.00164806,7.14212e-05
0.0078125,0.210938,-6.94002e-06,0.230546,-0.00178843,7.24606e-05
0.0078125,0.21875,-7.50978e-06,0.248255,-0.00193063,7.33022e-05
0.0078125,0.226562,-8.08536e-06,0.266147,-0.00207429,7.39546e-05
0.0078125,0.234375,-8.66532e-06,0.284178,-0.00221904,7.44257e-05
0.0078125,0.242188,-9.24827e-06,0.302302,-0.00236454,7.47224e-05
0.0078125,0.25,-9.83286e-06,0.320477,-0.00251045,7.48509e-05
0.0078125,0.257812,-1.04178e-05,0.338663,-0.00265644,7.48164e-05
0.0078125,0.265625,-1.10019e-05,0.356818,-0.0028022,7.46234e-05
0.0078125,0.273438,-1.15838e-05,0.374904,-0.00294741,7.42756e-05
0.0078125,0.28125,-1.21624e-05,0.392882,-0.00309178,7.37758e-05
0.0078125,0.289062,-1.27365e-05,0.410714,-0.003235,7.31264e-05
0.0078125,0.296875,-1.3305e-05,0.428363,-0.00337678,7.23289e-05
0.0078125,0.304688,-1.38667e-05,0.445792,-0.00351683,7.13843e-05
0.0078125,0.3125,-1.44204e-05,0.462964,-0.00365485,7.02932e-05
0.0078125,0.320312,-1.4965e-05,0.479843,-0.00379057,6.90556e-05
0.0078125,0.328125,-1.54994e-05,0.496392,-0.00392369,6.76715e-05
0.0078125,0.335938,-1.60224e-05,0.512575,-0.00405392,6.61403e-05
0.0078125,0.34375,-1.65328e-05,0.528355,-0.00418097,6.44613e-05
0.0078125,0.351562,-1.70296e-05,0.543697,-0.00430456,6.2634e-05
0.0078125,0.359375,-1.75115e-05,0.558564,-0.0044244,6.06576e-05
0.0078125,0.367188,-1.79774e-05,0.57292,-0.00454018,5.85315e-05
0.0078125,0.375,-1.8426e-05,0.586729,-0.00465163,5.62552e-05
0.0078125,0.382812,-1.88564e-05,0.599954,-0.00475844,5.38285e-05
0.0078125,0.390625,-1.92671e-05,0.61256,-0.00486034,5.12516e-05
0.0078125,0.398438,-1.96572e-05,0.62451,-0.00495702,4.8525e-05
0.0078125,0.40625,-2.00253e-05,0.635771,-0.0050482,4.56497e-05
0.0078125,0.414062,-2.03704e-05,0.646306,-0.0051336,4.26273e-05
0.0078125,0.421875,-2.06914e-05,0.656081,-0.00521294,3.94599e-05
0.0078125,0.429688,-2.0987e-05,0.665064,-0.00528594,3.61504e-05
0.0078125,0.4375,-2.12562e-05,0.673221,-0.00535233,3.27023e-05
0.0078125,0.445312,-2.1498e-05,0.680521,-0.00541186,2.91199e-05
0.0078125,0.453125,-2.17112e-05,0.686935,-0.00546427,2.54085e-05
0.0078125,0.460938,-2.1895e-05,0.692433,-0.00550933,2.15739e-05
0.0078125,0.46875,-2.20483e-05,0.696988,-0.0055468,1.76231e-05
0.0078125,0.476562,-2.21703e-05,0.700575,-0.00557649,1.35639e-05
0.0078125,0.484375,-2.22603e-05,0.703171,-0.00559818,9.40502e-06
0.0078125,0.492188,-2.23173e-05,0.704754,-0.00561171,5.15602e-06
0.0078125,0.5,-2.23408e-05,0.705308,-0.00561692,8.27501e-07
0.0078125,0.507812,-2.23302e-05,0.704815,-0.00561367,-3.56904e-06
0.0078125,0.515625,-2.2285e-05,0.703262,-0.00560185,-8.0212e-06
0.0078125,0.523438,-2.22049e-05,0.700641,-0.00558137,-1.25157e-05
0.0078125,0.53125,-2.20895e-05,0.696944,-0.00555217,-1.70385e-05
0.0078125,0.539062,-2.19387e-05,0.692168,-0.00551421,-2.15746e-05
0.0078125,0.546875,-2.17524e-05,0.686314,-0.00546749,-2.61083e-05
0.0078125,0.554688,-2.15307e-05,0.679385,-0.00541204,-3.06234e-05
0.0078125,0.5625,-2.12739e-05,0.67139,-0.00534791,-3.51028e-05
0.0078125,0.570312,-2.09822e-05,0.66234,-0.0052752,-3.9529e-05
0.0078125,0.578125,-2.06563e-05,0.652252,-0.00519402,-4.38841e-05
0.0078125,0.585938,-2.02966e-05,0.641145,-0.00510455,-4.81498e-05
0.0078125,0.59375,-1.99039e-05,0.629045,-0.00500696,-5.23075e-05
0.0078125,0.601562,-1.94793e-05,0.61598,-0.0049015,-5.63385e-05
0.0078125,0.609375,-1.90236e-05,0.601982,-0.00478843,-6.0224e-05
0.0078125,0.617188,-1.85383e-05,0.58709,-0.00466804,-6.39455e-05
0.0078125,0.625,-1.80245e-05,0.571344,-0.00454067,-6.74844e-05
0.0078125,0.632812,-1.74838e-05,0.554791,-0.0044067,-7.08228e-05
0.0078125,0.640625,-1.69179e-05,0.537479,-0.00426652,-7.39428e-05
0.0078125,0.648438,-1.63284e-05,0.519462,-0.00412058,-7.68276e-05
0.0078125,0.65625,-1.57174e-05,0.500798,-0.00396933,-7.94608e-05
0.0078125,0.664062,-1.50869e-05,0.481546,-0.00381328,-8.1827e-05
0.0078125,0.671875,-1.44389e-05,0.461773,-0.00365295,-8.39116e-05
0.0078125,0.679688,-1.37758e-05,0.441544,-0.0034889,-8.57015e-05
0.0078125,0.6875,-1.30998e-05,0.420929,-0.0033217,-8.71843e-05
0.0078125,0.695312,-1.24135e-05,0.400003,-0.00315194,-8.83493e-05
0.0078125,0.703125,-1.17194e-05,0.378838,-0.00298025,-8.91871e-05
0.0078125,0.710938,-1.102e-05,0.357512,-0.00280726,-8.96899e-05
0.0078125,0.71875,-1.03179e-05,0.336104,-0.0026336,-8.98514e-05
0.0078125,0.726562,-9.61602e-06,0.314693,-0.00245995,-8.9667e-05
0.0078125,0.734375,-8.9169e-06,0.293359,-0.00228695,-8.9134e-05
0.0078125,0.742188,-8.22331e-06,0.272183,-0.00211527,-8.82512e-05
0.0078125,0.75,-7.53797e-06,0.251245,-0.00194559,-8.70196e-05
0.0078125,0.757812,-6.86362e-06,0.230626,-0.00177855,-8.54418e-05
0.0078125,0.765625,-6.20295e-06,0.210404,-0.00161483,-8.35223e-05
0.0078125,0.773438,-5.55859e-06,0.190658,-0.00145505,-8.12677e-05
0.0078125,0.78125,-4.93314e-06,0.171463,-0.00129985,-7.86862e-05
0.0078125,0.789062,-4.32912e-06,0.152894,-0.00114985,-7.57882e-05
0.0078125,0.796875,-3.74895e-06,0.135022,-0.00100562,-7.25857e-05
0.0078125,0.804688,-3.19496e-06,0.117914,-0.000867741,-6.90927e-05
0.0078125,0.8125,-2.66937e-06,0.101635,-0.000736743,-6.53251e-05
0.0078125,0.820312,-2.17426e-06,0.0862451,-0.000613129,-6.13007e-05
0.0078125,0.828125,-1.71155e-06,0.0718008,-0.000497365,-5.7039e-05
0.0078125,0.835938,-1.28302e-06,0.0583526,-0.00038988,-5.25615e-05
0.0078125,0.84375,-8.90278e-07,0.0459458,-0.000291054,-4.78918e-05
0.0078125,0.851562,-5.34715e-07,0.0346197,-0.000201223,-4.30556e-05
0.0078125,0.859375,-2.17534e-07,0.024407,-0.000120668,-3.80809e-05
0.0078125,0.867188,6.02992e-08,0.0153331,-4.96143e-05,-3.29983e-05
0.0078125,0.875,2.98065e-07,0.00741545,1.17766e-05,-2.78415e-05
0.0078125,0.882812,4.95323e-07,0.000662614,6.34126e-05,-2.26477e-05
0.0078125,0.890625,6.51936e-07,-0.00492661,0.000105279,-1.74588e-05
0.0078125,0.898438,7.68116e-07,-0.00936448,0.000137447,-1.23219e-05
0.0078125,0.90625,8.44466e-07,-0.0126757,0.000160086,-7.29168e-06
0.0078125,0.914062,8.82048e-07,-0.0148995,0.00017348,-2.4322e-06
0.0078125,0.921875,8.82469e-07,-0.0160914,0.000178045,2.17976e-06
0.0078125,0.929688,8.4799e-07,-0.0163266,0.000174354,6.44998e-06
0.0078125,0.9375,7.81688e-07,-0.0157035,0.000163171,1.02601e-05
0.0078125,0.945312,6.87676e-07,-0.0143479,0.000145492,1.34576e-05
0.0078125,0.953125,5.71413e-07,-0.0124178,0.000122607,1.58418e-05
0.0078125,0.960938,4.40148e-07,-0.0101085,9.6167e-05,1.7144e-05
0.0078125,0.96875,3.03538e-07,-0.00765341,6.82695e-05,1.70071e-05
0.0078125,0.976562,1.74412e-07,-0.00531322,4.1539e-05,1.49878e-05
0.0078125,0.984375,6.93533e-08,-0.0033298,1.91263e-05,1.06897e-05
0.0078125,0.992188,7.38541e-09,-0.00178626,4.42962e-06,4.43861e-06
0.0078125,1,0,-0.000242013,0,0
0.015625,0,0,-0.00343825,0,0
0.015625,0.0078125,1.04929e-07,-0.00236809,1.10925e-05,-2.14983e-05
0.015625,0.015625,3.35911e-07,-0.00119679,3.19438e-05,-3.18741e-05
0.015625,0.0234375,6.02962e-07,-2.86206e-05,5.39292e-05,-3.19065e-05
0.015625,0.03125,8.34449e-07,0.00126873,7.0443e-05,-2.41179e-05
0.015625,0.0390625,9.79803e-07,0.00290085,7.65672e-05,-1.09613e-05
0.015625,0.046875,1.00572e-06,0.00506494,6.88305e-05,5.64242e-06
0.015625,0.0546875,8.91641e-07,0.0079203,4.49328e-05,2.42964e-05
0.015625,0.0625,6.26088e-07,0.0115831,3.48249e-06,4.40102e-05
0.015625,0.0703125,2.03982e-07,0.0161304,-5.62246e-05,6.40865e-05
0.015625,0.078125,-3.75263e-07,0.021607,-0.000134382,8.40354e-05
0.015625,0.0859375,-1.10907e-06,0.0280317,-0.000230804,0.000103513
0.015625,0.09375,-1.99266e-06,0.0354032,-0.000345034,0.000122281
0.015625,0.101562,-3.01971e-06,0.0437049,-0.000476413,0.000140176
0.015625,0.109375,-4.18291e-06,0.0529089,-0.000624148,0.00015709
0.015625,0.117188,-5.47425e-06,0.0629782,-0.000787346,0.000172957
0.015625,0.125,-6.88537e-06,0.07387,-0.000965058,0.00018774
0.015625,0.132812,-8.4077e-06,0.0855369,-0.0011563,0.000201426
0.015625,0.140625,-1.00327e-05,0.0979287,-0.00136006,0.000214018
0.015625,0.148438,-1.17517e-05,0.110993,-0.00157535,0.000225531
0.015625,0.15625,-1.35566e-05,0.124678,-0.00180117,0.000235989
0.015625,0.164062,-1.54391e-05,0.13893,-0.00203655,0.000245424
0.015625,0.171875,-1.73913e-05,0.153696,-0.00228054,0.00025387
0.015625,0.179688,-1.94058e-05,0.168923,-0.00253223,0.000261364
0.015625,0.1875,-2.14751e-05,0.184562,-0.00279072,0.000267944
0.015625,0.195312,-2.35924e-05,0.200562,-0.00305516,0.000273648
0.015625,0.203125,-2.57509e-05,0.216873,-0.00332472,0.000278512
0.015625,0.210938,-2.79442e-05,0.23345,-0.00359862,0.000282573
0.015625,0.21875,-3.01661e-05,0.250246,-0.00387608,0.000285863
0.015625,0.226562,-3.24108e-05,0.267215,-0.00415637,0.000288414
0.015625,0.234375,-3.46726e-05,0.284316,-0.00443879,0.000290254
0.015625,0.242188,-3.6946e-05,0.301504,-0.00472266,0.000291409
0.015625,0.25,-3.92258e-05,0.318741,-0.0050073,0.0002919
0.015625,0.257812,-4.15069e-05,0.335984,-0.00529209,0.000291748
0.015625,0.265625,-4.37844e-05,0.353196,-0.00557639,0.000290969
0.015625,0.273438,-4.60533e-05,0.370338,-0.00585959,0.000289578
0.015625,0.28125,-4.8309e-05,0.387372,-0.00614109,0.000287585
0.015625,0.289062,-5.05468e-05,0.404261,-0.00642031,0.000284999
0.015625,0.296875,-5.27622e-05,0.420969,-0.00669666,0.000281828
0.015625,0.304688,-5.49504e-05,0.43746,-0.00696957,0.000278075
0.015625,0.3125,-5.71071e-05,0.453698,-0.00723847,0.000273744
0.015625,0.320312,-5.92276e-05,0.469647,-0.00750278,0.000268835
0.015625,0.328125,-6.13076e-05,0.485272,-0.00776194,0.000263349
0.015625,0.335938,-6.33425e-05,0.500538,-0.00801538,0.000257286
0.015625,0.34375,-6.53277e-05,0.515411,-0.00826254,0.000250644
0.015625,0.351562,-6.72588e-05,0.529856,-0.00850285,0.000243422
0.015625,0.359375,-6.91312e-05,0.543837,-0.00873574,0.000235618
0.015625,0.367188,-7.09403e-05,0.557322,-0.00896065,0.000227231
0.015625,0.375,-7.26817e-05,0.570276,-0.009177,0.000218261
0.015625,0.382812,-7.43507e-05,0.582664,-0.00938423,0.000208709
0.015625,0.390625,-7.59427e-05,0.594454,-0.00958179,0.000198576
0.015625,0.398438,-7.74534e-05,0.605613,-0.0097691,0.000187866
0.015625,0.40625,-7.88782e-05,0.616107,-0.00994562,0.000176584
0.015625,0.414062,-8.02125e-05,0.625906,-0.0101108,0.000164738
0.015625,0.421875,-8.14522e-05,0.634978,-0.0102641,0.000152336
0.015625,0.429688,-8.25928e-05,0.643293,-0.010405,0.000139392
0.015625,0.4375,-8.36302e-05,0.650821,-0.010533,0.000125921
0.015625,0.445312,-8.45603e-05,0.657534,-0.0106476,0.000111939
0.015625,0.453125,-8.53792e-05,0.663406,-0.0107483,9.74682e-05
0.015625,0.460938,-8.60832e-05,0.668412,-0.0108347,8.25325e-05
0.015625,0.46875,-8.66688e-05,0.672527,-0.0109063,6.71593e-05
0.015625,0.476562,-8.71326e-05,0.67573,-0.0109627,5.13794e-05
0.015625,0.484375,-8.74716e-05,0.678001,-0.0110037,3.52269e-05
0.015625,0.492188,-8.7683e-05,0.679322,-0.0110287,1.87396e-05
0.015625,0.5,-8.77644e-05,0.679678,-0.0110377,1.95859e-06
0.015625,0.507812,-8.77136e-05,0.679057,-0.0110302,-1.50715e-05
0.015625,0.515625,-8.75289e-05,0.677447,-0.0110062,-3.23027e-05
0.015625,0.523438,-8.72089e-05,0.674841,-0.0109653,-4.96839e-05
0.015625,0.53125,-8.67526e-05,0.671236,-0.0109077,-6.71608e-05
0.015625,0.539062,-8.61595e-05,0.66663,-0.0108331,-8.46762e-05
0.015625,0.546875,-8.54295e-05,0.661024,-0.0107415,-0.00010217
0.015625,0.554688,-8.45631e-05,0.654425,-0.0106332,-0.00011958
0.015625,0.5625,-8.35611e-05,0.646841,-0.0105081,-0.000136841
0.015625,0.570312,-8.2425e-05,0.638284,-0.0103664,-0.000153887
0.015625,0.578125,-8.11566e-05,0.628771,-0.0102085,-0.00017065
0.015625,0.585938,-7.97586e-05,0.618322,-0.0100346,-0.000187059
0.015625,0.59375,-7.82338e-05,0.60696,-0.00984505,-0.000203045
0.015625,0.601562,-7.6586e-05,0.594712,-0.00964038,-0.000218536
0.015625,0.609375,-7.48192e-05,0.58161,-0.00942107,-0.000233463
0.015625,0.617188,-7.29381e-05,0.567689,-0.0091877,-0.000247754
0.015625,0.625,-7.0948e-05,0.552986,-0.00894093,-0.000261339
0.015625,0.632812,-6.88547e-05,0.537544,-0.00868147,-0.000274152
0.015625,0.640625,-6.66644e-05,0.521409,-0.00841009,-0.000286124
0.015625,0.648438,-6.4384e-05,0.50463,-0.00812763,-0.000297193
0.015625,0.65625,-6.20208e-05,0.487259,-0.00783499,-0.000307296
0.015625,0.664062,-5.95825e-05,0.469352,-0.00753313,-0.000316376
0.015625,0.671875,-5.70774e-05,0.450967,-0.00722305,-0.000324379
0.015625,0.679688,-5.45141e-05,0.432164,-0.0069058,-0.000331254
0.015625,0.6875,-5.19015e-05,0.413007,-0.00658249,-0.000336957
0.015625,0.695312,-4.92491e-05,0.393563,-0.00625426,-0.000341446
0.015625,0.703125,-4.65665e-05,0.373898,-0.00592228,-0.000344686
0.015625,0.710938,-4.38634e-05,0.354081,-0.00558775,-0.000346649
0.015625,0.71875,-4.11501e-05,0.334183,-0.00525192,-0.000347312
0.015625,0.726562,-3.84367e-05,0.314275,-0.00491602,-0.000346657
0.015625,0.734375,-3.57336e-05,0.294429,-0.00458133,-0.000344674
0.015625,0.742188,-3.30511e-05,0.274718,-0.00424909,-0.00034136
0.015625,0.75,-3.03998e-05,0.255213,-0.00392059,-0.000336719
0.015625,0.757812,-2.77899e-05,0.235987,-0.00359709,-0.000330761
0.015625,0.765625,-2.52317e-05,0.217109,-0.00327981,-0.000323505
0.015625,0.773438,-2.27351e-05,0.19865,-0.00297,-0.000314975
